accession	lab annotation	curated location	mapmapbin1 	mapmanname1	mapmapbin2	mapmanname2
GRMZM2G005887_P09   	 cysteine synthase	NULL	13.1.5.3.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL	NULL	NULL
GRMZM2G005980_P01   	DNA-binding protein	NULL	27.3.67	RNA.regulation of transcription.putative transcription regulator	NULL	NULL
GRMZM2G006006_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G006117_P01   	 transmembrane 9 superfamily protein member 2 	NULL	28.99	DNA.unspecified	NULL	NULL
GRMZM2G006117_P02   	 transmembrane 9 superfamily protein member 4	NULL	28.99	DNA.unspecified	NULL	NULL
GRMZM2G006117_P03   	 transmembrane 9 superfamily protein member 4	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006130_P01   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P02   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P03   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P04   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P05   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P06   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P07   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006130_P08   	aplha arabinofuranohydrolase isoenzyme (ASD1)	NULL	10	cell wall	NULL	NULL
GRMZM2G006144_P01   	FAD binding protein	NULL	16.1.4	secondary metabolism.isoprenoids.carotenoids	NULL	NULL
GRMZM2G006144_P02   	FAD binding protein	NULL	16.1.4	secondary metabolism.isoprenoids.carotenoids	NULL	NULL
GRMZM2G006178_P01   	 ATP-binding cassette sub-family E member 1	NULL	27.2	RNA.transcription	NULL	NULL
GRMZM2G006178_P02   	 ATP-binding cassette sub-family E member 1	NULL	27.2	RNA.transcription	NULL	NULL
GRMZM2G006207_P01   	14-3-3-like protein	NULL	30.7	signalling.14-3-3 proteins	NULL	NULL
GRMZM2G006252_P01   	DNA binding protein, putative, expressed	NULL	27.3.67	RNA.regulation of transcription.putative transcription regulator	NULL	NULL
GRMZM2G006252_P02   	DNA binding protein, putative, expressed	NULL	27.3.67	RNA.regulation of transcription.putative transcription regulator	NULL	NULL
GRMZM2G006252_P03   	DNA binding protein, putative, expressed	NULL	27.3.67	RNA.regulation of transcription.putative transcription regulator	NULL	NULL
GRMZM2G006293_P01   	UBQ6 (ubiquitin 6)	not plastid	29.5.11	protein.degradation.ubiquitin	NULL	NULL
GRMZM2G006363_P01   	expressed protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006363_P02   	expressed protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006366_P01   	AIR3 (Auxin-Induced in Root cultures 3); subtilase 	not plastid	29.5.1	protein.degradation.subtilases	NULL	NULL
GRMZM2G006468_P01   	wound-responsive protein-related	NULL	20.2.4	stress.abiotic.touch/wounding	NULL	NULL
GRMZM2G006468_P02   	wound-responsive protein-related	NULL	20.2.4	stress.abiotic.touch/wounding	NULL	NULL
GRMZM2G006468_P03   	wound-responsive protein-related	NULL	20.2.4	stress.abiotic.touch/wounding	NULL	NULL
GRMZM2G006468_P04   	wound-responsive protein-related	NULL	20.2.4	stress.abiotic.touch/wounding	NULL	NULL
GRMZM2G006468_P05   	wound-responsive protein-related	NULL	20.2.4	stress.abiotic.touch/wounding	NULL	NULL
GRMZM2G006474_P01   	pattern formation protein EMB30	NULL	33.99	development.unspecified	NULL	NULL
GRMZM2G006474_P02   	pattern formation protein EMB31	NULL	33.99	development.unspecified	NULL	NULL
GRMZM2G006673_P01   	THO complex subunit 1, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006673_P02   	THO complex subunit 1, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006704_P01   	cytochrome c oxidase  Vc - Complex IV	mitochondria	9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	NULL	NULL
GRMZM2G006765_P02   	actin 7 (ACT7)	not plastid	31.1	cell.organisation	NULL	NULL
GRMZM2G006806_P01   	protein SSU72	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006871_P01   	expressed protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G006894_P01   	ATPase 2, plasma membrane-type (AHA2)	plasma membrane	34.1.2	transport.p- and v-ATPases.H+-exporting ATPase	NULL	NULL
GRMZM2G006894_P02   	ATPase 2, plasma membrane-type (AHA2)	plasma membrane	34.1.2	transport.p- and v-ATPases.H+-exporting ATPase	NULL	NULL
GRMZM2G006953_P01   	 nuclear transport factor 2	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G006953_P02   	nuclear transport factor 2	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G006953_P03   	nuclear transport factor 2	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G007188_P01   	ADP-ribosylation factor-like protein 8B	plasma membrane	29.3.4.99	protein.targeting.secretory pathway.unspecified	NULL	NULL
GRMZM2G007188_P02   	ADP-ribosylation factor-like protein 8B	plasma membrane	29.3.4.99	protein.targeting.secretory pathway.unspecified	NULL	NULL
GRMZM2G007195_P01   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007195_P02   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007195_P03   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007195_P04   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007195_P05   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007260_P01   	 ubiquitin-conjugating enzyme E2-17 kDa	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007260_P02   	ubiquitin-conjugating enzyme E2-17 kDa	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007260_P03   	 ubiquitin-conjugating enzyme E2-17 kDa	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007260_P04   	 ubiquitin-conjugating enzyme E2-17 kDa	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007260_P05   	 ubiquitin-conjugating enzyme E2-17 kDa	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007277_P01   	 neutral/alkaline invertase	NULL	2.2.1.3.1	major CHO metabolism.degradation.sucrose.invertases.neutral	NULL	NULL
GRMZM2G007283_P01   	 serine/threonine-protein kinase NAK	NULL	29.4.1.58	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VIII	NULL	NULL
GRMZM2G007283_P02   	 serine/threonine-protein kinase NAK	NULL	29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	NULL	NULL
GRMZM2G007283_P03   	 serine/threonine-protein kinase NAK	NULL	29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	NULL	NULL
GRMZM2G007300_P01   	ubiquitin-conjugating enzyme E2 7	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007300_P02   	ubiquitin-conjugating enzyme E2 8	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007300_P03   	ubiquitin-conjugating enzyme E2 9	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G007399_P01   	alpha casein kinase 2 (CK 2acp)  	NULL	29.4.1	protein.postranslational modification.kinase	NULL	NULL
GRMZM2G007404_P01   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007404_P02   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007404_P03   	UDP-glucuronic acid decarboxylase 4 (UXS4)	NULL	10.1.5	cell wall.precursor synthesis.UXS	NULL	NULL
GRMZM2G007486_P01   	peptidylprolyl isomerase like, putative, expressed	NULL	31.3.1	cell.cycle.peptidylprolyl isomerase	NULL	NULL
GRMZM2G007486_P02   	peptidylprolyl isomerase like, putative, expressed	NULL	31.3.1	cell.cycle.peptidylprolyl isomerase	NULL	NULL
GRMZM2G007590_P01   	spliceosomal protein	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G007590_P02   	spliceosomal protein	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G007695_P01   	60S ribosomal protein L4	NULL	29.2.1.2.2.141	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L4/L1	NULL	NULL
GRMZM2G007708_P01   	pollen allergen Phl p 2 precursor	NULL	10.7	cell wall.modification	NULL	NULL
GRMZM2G007721_P01   	sterol 3-beta-glucosyltransferase	plasma membrane	11.8.3	lipid metabolism.exotics (steroids, squalene etc).UDP-glucose:sterol glucosyltransferase	NULL	NULL
GRMZM2G007721_P02   	sterol 3-beta-glucosyltransferase	plasma membrane	11.8.3	lipid metabolism.exotics (steroids, squalene etc).UDP-glucose:sterol glucosyltransferase	NULL	NULL
GRMZM2G007729_P01   	heat shock 22 kDa protein, mitochondrial 	NULL	20.2.1	stress.abiotic.heat	NULL	NULL
GRMZM2G007729_P02   	heat shock 22 kDa protein, mitochondrial 	NULL	20.2.1	stress.abiotic.heat	NULL	NULL
GRMZM2G007729_P03   	heat shock 22 kDa protein, mitochondrial 	NULL	20.2.1	stress.abiotic.heat	NULL	NULL
GRMZM2G007871_P01   	 heat shock protein binding protein	NULL	20.2.1	stress.abiotic.heat	NULL	NULL
GRMZM2G007871_P02   	 heat shock protein binding protein	NULL	20.2.1	stress.abiotic.heat	NULL	NULL
GRMZM2G008216_P01   	 cytidine/deoxycytidylate deaminase family protein	NULL	23.2	nucleotide metabolism.degradation	NULL	NULL
GRMZM2G008216_P02   	 cytidine/deoxycytidylate deaminase family protein	NULL	23.2	nucleotide metabolism.degradation	NULL	NULL
GRMZM2G008216_P03   	 cytidine/deoxycytidylate deaminase family protein	NULL	23.2	nucleotide metabolism.degradation	NULL	NULL
GRMZM2G008232_P01   	vacuolar ATP synthase subunit F	vacuole	34.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase	NULL	NULL
GRMZM2G008290_P01   	metal ion binding protein	NULL	34.99	transport.misc	NULL	NULL
GRMZM2G008290_P02   	metal ion binding protein	NULL	34.99	transport.misc	NULL	NULL
GRMZM2G008290_P03   	metal ion binding protein	NULL	34.99	transport.misc	NULL	NULL
GRMZM2G008290_P04   	metal ion binding protein	NULL	34.99	transport.misc	NULL	NULL
GRMZM2G008290_P05   	metal ion binding protein	NULL	34.99	transport.misc	NULL	NULL
GRMZM2G008290_P06   	metal ion binding protein	NULL	34.99	transport.misc	NULL	NULL
GRMZM2G008327_P01   	 cell division control protein 2 homolog 1	NULL	31.3	cell.cycle	NULL	NULL
GRMZM2G008374_P01   	 ANAC079/ANAC080	NULL	33.99	development.unspecified	NULL	NULL
GRMZM2G008410_P01   	RNA-binding protein Nova-1	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G008430_P01   	60S ribosomal protein L12 (RPL12C) 	cytosol	29.2.1.2.2.12	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L12	NULL	NULL
GRMZM2G008430_P02   	60S ribosomal protein L12 (RPL12C) 	cytosol	29.2.1.2.2.12	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L12	NULL	NULL
GRMZM2G008456_P01   	DNA-binding protein	NULL	28.1.3	DNA.synthesis/chromatin structure.histone	NULL	NULL
GRMZM2G008456_P02   	DNA-binding protein	NULL	28.1.3	DNA.synthesis/chromatin structure.histone	NULL	NULL
GRMZM2G008497_P01   	 importin-7	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G008497_P02   	 importin-7	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G008507_P01   	sucrose phosphate synthase 3 (SPS-3)	cytosol	2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS	NULL	NULL
GRMZM2G008507_P02   	sucrose phosphate synthase 3 (SPS-3)	cytosol	2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS	NULL	NULL
GRMZM2G008517_P01   	VIP1 protein, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G008558_P01   	hypothetical protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G008558_P02   	hypothetical protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G008607_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G008607_P02   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G008623_P01   	20S proteasome alpha subunit G (PAG1) 	cytosol	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G008623_P02   	20S proteasome alpha subunit G (PAG1) 	cytosol	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G008647_P01   	40S ribosomal protein S4 (RPS4D) 	cytosol	29.2.1.2.1.4	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S4	NULL	NULL
GRMZM2G008647_P02   	 OsPDIL2-1 - Oryza sativa protein disulfide isomerase	NULL	21.1	redox.thioredoxin	NULL	NULL
GRMZM2G008647_P03   	 OsPDIL2-1 - Oryza sativa protein disulfide isomerase	NULL	21.1	redox.thioredoxin	NULL	NULL
GRMZM2G008647_P04   	 OsPDIL2-1 - Oryza sativa protein disulfide isomerase	NULL	21.1	redox.thioredoxin	NULL	NULL
GRMZM2G008647_P05   	40S ribosomal protein S4 (RPS4D) 	cytosol	29.2.1.2.1.4	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S4	NULL	NULL
GRMZM2G008728_P01   	 quinone oxidoreductase	NULL	26.1	misc.misc2	NULL	NULL
GRMZM2G008728_P02   	 quinone oxidoreductase	NULL	26.1	misc.misc2	NULL	NULL
GRMZM2G008728_P03   	 quinone oxidoreductase	NULL	26.1	misc.misc2	NULL	NULL
GRMZM2G008748_P01   	60S ribosomal protein L6	cytosol	29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6	NULL	NULL
GRMZM2G008748_P02   	60S ribosomal protein L6	cytosol	29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6	NULL	NULL
GRMZM2G008748_P03   	60S ribosomal protein L6	cytosol	29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6	NULL	NULL
GRMZM2G008864_P01   	electron transfer flavoprotein beta - Complex III	mitochondria	9.3	mitochondrial electron transport / ATP synthesis.electron transfer flavoprotein	NULL	NULL
GRMZM2G008865_P01   	histone H2A variant 3	NULL	28.1.3	DNA.synthesis/chromatin structure.histone	NULL	NULL
GRMZM2G008919_P01   	vesicle-associated membrane protein 725	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G008919_P02   	 vesicle-associated membrane protein 725	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G008919_P03   	 vesicle-associated membrane protein 725	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G008919_P04   	 vesicle-associated membrane protein 725	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G008919_P05   	 vesicle-associated membrane protein 725	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G009021_P01   	SKP1-INTERACTING PARTNER 5)	not plastid	29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	NULL	NULL
GRMZM2G009021_P02   	SKP1-INTERACTING PARTNER 5)	not plastid	29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	NULL	NULL
GRMZM2G009021_P03   	SKP1-INTERACTING PARTNER 5)	not plastid	29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	NULL	NULL
GRMZM2G009139_P01   	expressed protein	NULL	35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	NULL	NULL
GRMZM2G009188_P01   	 cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase.	NULL	26.22	misc.short chain dehydrogenase/reductase (SDR)	NULL	NULL
GRMZM2G009188_P02   	 cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase.	NULL	26.22	misc.short chain dehydrogenase/reductase (SDR)	NULL	NULL
GRMZM2G009189_P01   	 flowering promoting factor-like 1	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G009208_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G009282_P01   	alpha-xylosidase (XYL1)	NULL	10.7	cell wall.modification	NULL	NULL
GRMZM2G009448_P01   	glycine-rich RNA-binding protein 7	not plastid	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G009448_P02   	glycine-rich RNA-binding protein 7	not plastid	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G009464_P01   	ABC transporter - ATP-binding cassette sub-family F member 2	NULL	34.16	transport.ABC transporters and multidrug resistance systems	NULL	NULL
GRMZM2G009464_P02   	ABC transporter - ATP-binding cassette sub-family F member 2	NULL	34.16	transport.ABC transporters and multidrug resistance systems	NULL	NULL
GRMZM2G009538_P01   	acidic leucine-rich nuclear phosphoprotein 32 family member B, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G009538_P02   	acidic leucine-rich nuclear phosphoprotein 32 family member B, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G009593_P01   	serine/threonine-protein phosphatase BSL2	NULL	29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	NULL	NULL
GRMZM2G009653_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G009653_P02   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G009690_P01   	exostosin family protein 	NULL	10.3	cell wall.hemicellulose synthesis	NULL	NULL
GRMZM2G009715_P01   	KEA3 (K+ efflux antiporter 3); potassium:hydrogen antiporter 	NULL	34.15	transport.potassium	NULL	NULL
GRMZM2G009715_P02   	KEA3 (K+ efflux antiporter 3); potassium:hydrogen antiporter 	NULL	34.15	transport.potassium	NULL	NULL
GRMZM2G009804_P01   	glutaredoxin family protein 	NULL	21.4	redox.glutaredoxins	NULL	NULL
GRMZM2G009808_P01   	aconitate hydratase (citrate hydro-lyase/aconitase) -1	not plastid	8.2.3	TCA / org. transformation.other organic acid transformaitons.aconitase	NULL	NULL
GRMZM2G009845_P01   	importin alpha-1b subunit	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G009845_P02   	importin alpha-1b subunit	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G009845_P03   	importin alpha-1b subunit	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G009871_P01   	T-complex protein 1 subunit eta	NULL	29.6	protein.folding	NULL	NULL
GRMZM2G009871_P02   	 T-complex protein 1 subunit eta	NULL	29.6	protein.folding	NULL	NULL
GRMZM2G009871_P03   	 T-complex protein 1 subunit eta	NULL	29.6	protein.folding	NULL	NULL
GRMZM2G009871_P04   	 T-complex protein 1 subunit eta	NULL	29.6	protein.folding	NULL	NULL
GRMZM2G009871_P05   	 T-complex protein 1 subunit eta	NULL	29.6	protein.folding	NULL	NULL
GRMZM2G009876_P01   	TGF-beta-inducible nuclear protein 1, putative, expressed	NULL	29.2.1.2.1.8	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S8	NULL	NULL
GRMZM2G009936_P01   	60S ribosomal protein L36-2	NULL	29.2.1.2.2.36	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L36	NULL	NULL
GRMZM2G009936_P02   	60S ribosomal protein L36-2	NULL	29.2.1.2.2.36	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L36	NULL	NULL
GRMZM2G009936_P03   	60S ribosomal protein L36-2	NULL	29.2.1.2.2.36	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L36	NULL	NULL
GRMZM2G010054_P01   	coatomer subunit alpha	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G010056_P01   	bacterial hemolysin-related 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G010056_P02   	bacterial hemolysin-related 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G010056_P03   	bacterial hemolysin-related 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G010085_P01   	chromatin remodelling complex ATPase chain, putative, expressed	NULL	28.1	DNA.synthesis/chromatin structure	NULL	NULL
GRMZM2G010085_P02   	chromatin remodelling complex ATPase chain, putative, expressed	NULL	28.1	DNA.synthesis/chromatin structure	NULL	NULL
GRMZM2G010093_P01   	calcineurin B-like protein 3	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G010093_P02   	calcineurin B-like protein 3	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G010093_P03   	calcineurin B-like protein 3	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G010093_P04   	calcineurin B-like protein 3	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G010257_P01   	60S acidic ribosomal protein P2A	not plastid	29.2.1.2.2.82	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P2	NULL	NULL
GRMZM2G010315_P01   	actin-7, putative, expressed	NULL	31.1	cell.organisation	NULL	NULL
GRMZM2G010321_P01   	glycine cleavage system H protein	mitochondria	1.2.4.4	PS.photorespiration.glycine cleavage.H protein	NULL	NULL
GRMZM2G010321_P02   	glycine cleavage system H protein	mitochondria	1.2.4.4	PS.photorespiration.glycine cleavage.H protein	NULL	NULL
GRMZM2G010348_P01   	cytochrome c - complex IV	mitochondria	9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	NULL	NULL
GRMZM2G010348_P02   	cytochrome c - complex IV	mitochondria	9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	NULL	NULL
GRMZM2G010357_P01   	 CCR4-NOT transcription complex subunit 2	NULL	27.3.99	RNA.regulation of transcription.unclassified	NULL	NULL
GRMZM2G010357_P02   	 CCR4-NOT transcription complex subunit 2	NULL	27.3.99	RNA.regulation of transcription.unclassified	NULL	NULL
GRMZM2G010357_P03   	 CCR4-NOT transcription complex subunit 2	NULL	27.3.99	RNA.regulation of transcription.unclassified	NULL	NULL
GRMZM2G010357_P04   	 CCR4-NOT transcription complex subunit 2	NULL	27.3.99	RNA.regulation of transcription.unclassified	NULL	NULL
GRMZM2G010357_P05   	 CCR4-NOT transcription complex subunit 2	NULL	27.3.99	RNA.regulation of transcription.unclassified	NULL	NULL
GRMZM2G010435_P01   	cysteine protease 1 	NULL	29.5.3	protein.degradation.cysteine protease	NULL	NULL
GRMZM2G010452_P01   	importin beta-1 subunit	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G010468_P01   	trans-cinnamate 4-monooxygenase	NULL	16.2.1.2 	secondary metabolism.phenylpropanoids.lignin biosynthesis.C4H	NULL	NULL
GRMZM2G010490_P01   	unknown protein 	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010490_P03   	unknown protein 	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010494_P01   	transketolase-2 (TKL-2)	NULL	1.3.8	PS.calvin cyle.transketolase	NULL	NULL
GRMZM2G010545_P01   	SAG20	NULL	20	stress	NULL	NULL
GRMZM2G010545_P02   	SAG20	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010545_P03   	SAG20	NULL	20	stress	NULL	NULL
GRMZM2G010599_P01   	60S ribosomal protein L35 (RPL35D)	cytosol	29.2.1.2.2.35	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35	NULL	NULL
GRMZM2G010599_P02   	60S ribosomal protein L35 (RPL35D)	cytosol	29.2.1.2.2.35	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35	NULL	NULL
GRMZM2G010599_P03   	60S ribosomal protein L35 (RPL35D)	cytosol	29.2.1.2.2.35	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35	NULL	NULL
GRMZM2G010637_P01   	HEAT repeat family protein, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010637_P02   	HEAT repeat family protein, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010783_P01   	 hypoxia induced protein conserved region containing protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G010783_P02   	 hypoxia induced protein conserved region containing protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G010823_P01   	fumarate hydratase 1	mitochondria	8.1.8	TCA / org. transformation.TCA.fumarase	NULL	NULL
GRMZM2G010831_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010868_P01   	LP1 (nonspecific lipid transfer protein 1) -1	NULL	11.6	lipid metabolism.lipid transfer proteins etc	NULL	NULL
GRMZM2G010944_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010944_P02   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010944_P03   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010944_P04   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010944_P05   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G010960_P01   	 LIM domain containing protein	NULL	27.3.67	RNA.regulation of transcription.putative transcription regulator	NULL	NULL
GRMZM2G010987_P01   	 anthocyanidin 5,3-O-glucosyltransferase	NULL	16.8.1	secondary metabolism.flavonoids.anthocyanins	NULL	NULL
GRMZM2G010991_P01   	60S ribosomal protein L22-2	cytosol	29.2.1.2.2.22	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L22	NULL	NULL
GRMZM2G010991_P02   	60S ribosomal protein L22-3	NULL	29.2.1.2.2.22	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L22	NULL	NULL
GRMZM2G011030_P01   	CSN12-like protein, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G011030_P02   	CSN12-like protein, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G011030_P03   	CSN12-like protein, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G011030_P04   	CSN12-like protein, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G011030_P05   	CSN12-like protein, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G011030_P06   	CSN12-like protein, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G011031_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
